,cut,level,salary,years,price
1,Ideal,E,61.5,55,326
2,Premium,E,59.8,61,326
3,Good,E,56.9,65,327
4,Premium,I,62.4,58,334
5,Good,J,63.3,58,335
6,Very Good,J,62.8,57,336
7,Very Good,I,62.3,57,336
8,Very Good,H,61.9,55,337
9,Fair,E,65.1,61,337
10,Very Good,H,59.4,61,338
11,Good,J,64,55,339
12,Ideal,J,62.8,56,340
13,Premium,F,60.4,61,342
14,Ideal,J,62.2,54,344
15,Premium,E,60.2,62,345
16,Premium,E,60.9,58,345
17,Ideal,I,62,54,348
18,Good,J,63.4,54,351
19,Good,J,63.8,56,351
20,Very Good,J,62.7,59,351
21,Good,I,63.3,56,351
22,Very Good,E,63.8,55,352
23,Very Good,H,61,57,353
24,Very Good,J,59.4,62,353
25,Very Good,J,58.1,62,353
26,Very Good,G,60.4,58,354
27,Premium,I,62.5,57,355
28,Very Good,J,62.2,57,357
29,Very Good,D,60.5,61,357
30,Very Good,F,60.9,57,357
31,Very Good,F,60,57,402
32,Very Good,F,59.8,57,402
33,Very Good,E,60.7,59,402
34,Very Good,E,59.5,58,402
35,Very Good,D,61.9,58,402
36,Good,F,58.2,59,402
37,Good,E,64.1,59,402
38,Good,H,64,54,402
39,Very Good,D,60.8,59,403
40,Ideal,I,61.8,55,403
41,Ideal,I,61.2,56,403
42,Ideal,J,61.1,56,403
43,Good,D,65.2,56,403
44,Good,D,58.4,63,403
45,Good,H,63.1,56,403
46,Premium,F,62.4,58,403
47,Very Good,H,61.8,55,403
48,Good,H,63.8,56,403
49,Very Good,E,63.3,60,404
50,Very Good,H,60.7,60,404
51,Very Good,F,60.9,61,404
52,Ideal,G,61.9,54,404
53,Ideal,I,60.9,55,404
54,Premium,E,61.6,58,404
55,Premium,D,59.3,62,404
56,Ideal,I,61,59,405
57,Premium,J,59.3,61,405
58,Very Good,I,62.6,57,405
59,Very Good,I,63,57,405
60,Good,I,63.2,55,405
61,Ideal,I,60.9,57,552
62,Premium,D,62.6,59,552
63,Ideal,D,62.5,57,552
64,Ideal,D,62.1,56,552
65,Premium,I,61.5,59,552
66,Ideal,G,61.4,56,553
67,Ideal,I,62,55.3,553
68,Very Good,G,63.3,57,553
69,Premium,G,61.8,58,553
70,Premium,E,60.7,58,553
71,Very Good,D,61.5,60,553
72,Very Good,H,63.1,56,554
73,Premium,H,62.9,59,554
74,Premium,H,62.5,57,554
75,Good,H,63.7,57,554
76,Very Good,F,59.2,60,554
77,Very Good,E,59.9,58,554
78,Very Good,D,62.4,54,554
79,Very Good,D,62.8,60,554
80,Very Good,E,62.6,59,554
81,Very Good,E,63.4,59,554
82,Very Good,D,62.1,60,554
83,Ideal,E,62.9,58,554
84,Ideal,I,61.6,56,554
85,Good,E,57.9,60,554
86,Premium,G,62.3,59,554
87,Premium,H,61.2,58,554
88,Premium,H,60.8,59,554
89,Premium,H,60.7,58,554
90,Premium,I,62.9,58,554
91,Ideal,E,62.5,57,2757
92,Fair,E,55.1,69,2757
93,Ideal,G,61.6,56,2757
94,Very Good,E,62.4,57,2759
95,Very Good,G,63.8,56,2759
96,Good,E,57.5,58,2759
97,Good,F,59.4,62,2759
98,Fair,F,66.3,62,2759
99,Very Good,E,61.6,59,2760
100,Premium,H,61.5,58,2760
101,Very Good,D,63.2,56,2760
102,Premium,E,59.9,54,2760
103,Ideal,G,61.6,55,2760
104,Premium,G,61.7,58,2760
105,Ideal,I,62.9,56,2760
106,Ideal,G,62.2,55,2760
107,Premium,G,63,59,2760
108,Ideal,I,62.3,55,2761
109,Ideal,F,58.8,57,2761
110,Ideal,E,62,55,2761
111,Ideal,F,61.4,57,2761
112,Ideal,E,62.2,56,2761
113,Premium,I,63,58,2761
114,Very Good,G,62.2,59,2762
115,Ideal,F,62.6,56,2762
116,Ideal,F,62.7,53,2762
117,Premium,F,61.7,58,2762
118,Ideal,G,62.4,54,2762
119,Ideal,E,60.7,58,2762
120,Ideal,F,59.9,59,2762
121,Ideal,D,62.3,56,2762
122,Ideal,E,62.3,54,2762
123,Very Good,F,61.7,63,2762
124,Fair,F,64.5,57,2762
125,Fair,F,65.3,55,2762
126,Premium,F,61.6,60,2762
127,Premium,H,61.4,56,2763
128,Very Good,D,59.6,57,2763
129,Fair,H,64.4,57,2763
130,Fair,H,65.7,60,2763
131,Ideal,H,62,56,2763
132,Very Good,D,63.6,58,2764
133,Ideal,D,61.9,59,2764
134,Very Good,E,62.6,60,2765
135,Very Good,H,61.3,60,2765
136,Premium,E,60.9,60,2765
137,Very Good,F,60.1,62,2765
138,Premium,F,61.8,59,2765
139,Ideal,H,61.2,57,2765
140,Ideal,G,61.9,56,2766
141,Premium,G,60.9,57,2766
142,Premium,G,59.8,56,2766
143,Very Good,D,61.8,55,2767
144,Very Good,F,60,57,2767
145,Ideal,D,61.6,55,2767
146,Good,H,62.1,64,2767
147,Very Good,G,63.3,59,2768
148,Very Good,D,60.2,56,2768
149,Very Good,D,61.1,58,2768
150,Ideal,E,60.9,57,2768
151,Premium,D,61.7,59,2768
152,Ideal,I,61.3,56,2769
153,Premium,D,62.5,60,2770
154,Premium,G,61.4,59,2770
155,Very Good,F,62.9,57,2770
156,Ideal,D,62.4,57,2770
157,Ideal,F,60.7,56,2770
158,Premium,G,60.7,58,2770
159,Premium,G,61.5,58,2770
160,Ideal,D,59.9,57,2770
161,Premium,G,59.2,59,2770
162,Very Good,H,60.3,56,2771
163,Very Good,F,61.7,60,2771
164,Ideal,G,61.9,57,2771
165,Ideal,F,61.9,55,2771
166,Very Good,H,60.4,59,2772
167,Very Good,F,61,57,2772
168,Ideal,G,61.5,55,2772
169,Ideal,F,61.7,56,2772
170,Good,E,59.2,61,2772
171,Ideal,D,61.3,56,2773
172,Premium,D,58,62,2773
173,Very Good,J,60.2,61,2774
174,Ideal,E,61.7,55,2774
175,Ideal,E,62.7,55,2774
176,Good,I,64.6,54,2774
177,Very Good,F,61.3,61,2775
178,Very Good,G,63.7,56.4,2776
179,Premium,E,62.7,58,2776
180,Ideal,E,62.2,57,2776
181,Ideal,E,61.6,56,2776
182,Ideal,E,61.5,57,2776
183,Ideal,G,61.8,56,2776
184,Ideal,G,60.7,56,2776
185,Good,G,59.7,60.5,2776
186,Ideal,G,60.5,56,2776
187,Very Good,D,62.7,58,2777
188,Premium,F,62.1,58,2777
189,Very Good,F,62.8,57,2777
190,Good,F,63.8,58,2777
191,Good,F,57.8,60,2777
192,Ideal,E,62.1,55,2777
193,Premium,E,61.1,60,2777
194,Premium,E,60,59,2777
195,Premium,E,61.2,57,2777
196,Premium,E,62.7,59,2777
197,Premium,E,61,57,2777
198,Premium,E,61,58,2777
199,Ideal,E,61.4,57,2777
200,Premium,F,61.8,61,2777
201,Very Good,E,59.9,63,2777
202,Premium,E,61.3,58,2777
203,Premium,E,60.5,58,2777
204,Good,E,64.1,59,2777
205,Fair,H,67.9,60,2777
206,Premium,F,62.4,58,2777
207,Very Good,E,63.2,60,2777
208,Ideal,F,61.3,55,2778
209,Very Good,H,60.8,56,2779
210,Ideal,E,61.7,56,2779
211,Very Good,F,63.6,57,2780
212,Premium,G,61.2,58,2780
213,Ideal,F,62.1,54,2780
214,Ideal,G,61.5,55,2780
215,Ideal,G,61.4,59,2780
216,Premium,F,61.8,60,2781
217,Ideal,H,62.2,56,2781
218,Ideal,H,61.2,56,2781
219,Very Good,H,60.6,63,2782
220,Very Good,D,57.5,64,2782
221,Ideal,G,61.3,56,2782
222,Good,E,57.2,62,2782
223,Premium,E,62.9,60,2782
224,Very Good,D,63.1,58,2782
225,Ideal,D,60.8,57,2782
226,Premium,D,62.7,59,2782
227,Premium,D,62.8,60,2782
228,Fair,G,55.1,67,2782
229,Premium,F,61.4,59,2782
230,Ideal,F,62.2,55,2783
231,Very Good,F,63,54,2784
232,Very Good,H,63.7,56,2784
233,Very Good,F,63.6,58,2787
234,Ideal,F,62,57,2787
235,Ideal,D,61.5,56,2787
236,Very Good,H,60.5,60,2788
237,Very Good,I,61.1,60,2788
238,Ideal,I,61.8,56,2788
239,Good,D,63.3,56,2788
240,Good,G,59.4,64,2788
241,Ideal,F,62.5,55,2788
242,Fair,E,64.5,58,2788
243,Premium,H,62.7,59,2788
244,Good,F,64.2,52,2789
245,Good,E,63.7,54,2789
246,Premium,E,60.4,58,2789
247,Premium,E,61.8,58,2789
248,Very Good,J,63.2,56,2789
249,Ideal,G,61.6,56,2789
250,Ideal,E,61.6,56,2789
251,Ideal,G,60.9,57,2789
252,Good,G,61,61,2789
253,Premium,E,62.1,57,2789
254,Premium,E,60.9,60,2789
255,Premium,H,61.3,60,2789
256,Fair,J,65.8,59,2789
257,Ideal,G,61.3,56,2790
258,Premium,I,58.8,59,2790
259,Ideal,F,62.3,55,2790
260,Premium,F,60.1,62,2790
261,Premium,F,61.8,59,2790
262,Very Good,I,63.6,55.8,2791
263,Ideal,E,62.2,56,2791
264,Premium,E,59.2,59,2792
265,Premium,E,61.8,59,2792
266,Ideal,E,61.3,55,2792
267,Premium,F,62.1,60,2792
268,Premium,F,60.7,60,2792
269,Premium,H,59.6,57,2792
270,Ideal,F,62.2,56,2792
271,Very Good,G,60.6,57,2793
272,Very Good,E,62.9,57,2793
273,Good,E,64.1,55,2793
274,Ideal,I,61.3,56,2793
275,Ideal,H,62.7,55,2793
276,Very Good,E,63.2,56,2794
277,Very Good,E,60.7,56,2795
278,Premium,I,61.9,60,2795
279,Ideal,F,62.6,55,2795
280,Good,F,60.7,60,2795
281,Premium,D,62,60,2795
282,Premium,I,63,57,2795
283,Premium,H,58,59,2795
284,Premium,G,62.9,57,2795
285,Premium,I,58.2,60,2795
286,Good,E,63.2,58,2796
287,Very Good,H,61.3,59,2797
288,Very Good,E,60.3,60,2797
289,Premium,D,62.7,60,2797
290,Premium,D,61.3,58,2797
291,Premium,D,61.6,60,2797
292,Ideal,F,61.9,55,2797
293,Ideal,D,61.7,56,2797
294,Ideal,G,61.9,58,2797
295,Ideal,H,61.8,58,2797
296,Ideal,H,61.6,56,2797
297,Fair,G,58.8,66,2797
298,Premium,F,61,57,2797
299,Fair,E,67.4,60,2797
300,Very Good,H,63.4,60,2797
301,Ideal,I,61.5,59,2798
302,Very Good,E,58,62,2799
303,Ideal,F,62.4,54,2799
304,Ideal,D,61.9,57,2799
305,Very Good,G,61.6,56,2800
306,Good,I,62.2,59,2800
307,Premium,E,62.2,58,2800
308,Very Good,I,61.3,56,2800
309,Ideal,G,62.3,57,2800
310,Ideal,G,61.8,57,2800
311,Very Good,H,62.5,59,2800
312,Premium,G,62.9,60,2800
313,Ideal,I,61.8,59,2800
314,Ideal,G,62.3,56,2800
315,Fair,G,59,70,2800
316,Ideal,F,60.7,55,2801
317,Ideal,F,62.5,55,2801
318,Premium,F,62.7,58,2801
319,Ideal,H,60.4,57,2801
320,Premium,F,62.1,58,2801
321,Good,F,57.8,60,2801
322,Good,F,63.8,58,2801
323,Premium,F,62.8,57,2801
324,Premium,G,62.2,58,2801
325,Premium,J,62.3,58,2801
326,Very Good,G,59.9,58,2802
327,Ideal,F,61.9,54,2802
328,Premium,E,63,55,2802
329,Premium,F,62.4,58,2802
330,Very Good,F,62.9,58,2803
331,Very Good,E,63.5,56,2803
332,Ideal,G,61.3,56,2803
333,Ideal,E,60.6,54,2803
334,Good,G,65.1,58,2803
335,Premium,F,62.6,58,2803
336,Premium,F,58,62,2803
337,Premium,G,62.4,61,2803
338,Premium,G,61.3,57,2803
339,Premium,G,59.9,60,2803
340,Premium,G,60.8,58,2803
341,Very Good,G,63.5,55,2803
342,Ideal,D,62.2,57,2803
343,Very Good,E,63.8,58,2804
344,Very Good,E,64,57,2804
345,Very Good,E,62.5,56,2804
346,Very Good,D,62.3,58,2804
347,Ideal,F,61.7,57,2804
348,Very Good,F,62.2,58,2804
349,Ideal,H,61.5,56,2804
350,Ideal,D,61,59,2804
351,Ideal,D,62.2,56,2804
352,Ideal,D,61.5,54,2804
353,Fair,I,67.3,59,2804
354,Premium,F,61.7,58,2805
355,Premium,F,61.9,56,2805
356,Ideal,E,61.8,58,2805
357,Fair,E,58.7,66,2805
358,Premium,F,62.5,57,2805
359,Ideal,G,62.8,56,2805
360,Fair,F,61.1,68,2805
361,Good,G,64,57,2805
362,Very Good,G,62.5,60,2806
363,Very Good,H,60.6,58,2806
364,Ideal,F,61.6,55,2806
365,Very Good,F,62.2,58,2807
366,Very Good,F,60,57,2807
367,Premium,J,61.9,57,2807
368,Very Good,H,62.8,57,2808
369,Very Good,F,62,57,2808
370,Fair,G,66.4,59,2808
371,Very Good,G,63.4,56,2808
372,Ideal,E,60.9,56,2808
373,Very Good,D,63.1,57,2808
374,Very Good,F,63.1,59,2809
375,Premium,D,59.2,57,2809
376,Premium,F,60.7,54,2809
377,Fair,F,64.6,56,2809
378,Very Good,F,61.8,56,2810
379,Very Good,F,59.9,60,2810
380,Ideal,D,61.7,55,2810
381,Good,F,62.8,61,2810
382,Good,G,62.7,57,2810
383,Very Good,F,63.4,58,2811
384,Very Good,D,63.5,54,2811
385,Fair,J,65.7,59,2811
386,Fair,I,68.1,56,2811
387,Very Good,G,63,60,2812
388,Very Good,F,59.5,58,2812
389,Good,E,63.5,59,2812
